"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
1,56.57,51.06,1.08,85.02,76.73,85.00,19.00,76,59,65,70,73,74,79,80,81,84,85,87,90,92,93,95,99,102,107,116
2,8.18,7.89,1.04,87.30,83.43,86.50,17.25,80,58,64,71,74,79,81,82,84,86,87,88,90,91,95,97,101,104,106,118
3,19.93,19.46,0.93,93.75,90.34,92.50,16.57,78,66,77,79,81,85,86,87,90,92,93,94,98,99,102,105,106,109,116,122
4,2.15,2.09,0.99,91.80,88.79,91.50,15.65,78,64,74,78,80,83,85,87,87,90,91,93,94,97,99,100,102,109,114,122
5,13.22,12.72,1.06,90.23,86.96,90.40,16.20,78,61,72,75,77,80,83,86,87,88,90,92,93,94,96,99,102,108,113,117
