"BS_Id,N,20,0","BS_AvgTt,N,20,2","BS_MedTt,N,20,2","BS_ratio,N,20,2","BS_AvgSp,N,20,2","BS_HvgSp,N,20,2","BS_MedSp,N,20,2","BS_SdSp,N,20,2","BS_Hits,N,20,0","BS_P5sp,N,20,0","BS_P10sp,N,20,0","BS_P15sp,N,20,0","BS_P20sp,N,20,0","BS_P25sp,N,20,0","BS_P30sp,N,20,0","BS_P35sp,N,20,0","BS_P40sp,N,20,0","BS_P45sp,N,20,0","BS_P50sp,N,20,0","BS_P55sp,N,20,0","BS_P60sp,N,20,0","BS_P65sp,N,20,0","BS_P70sp,N,20,0","BS_P75sp,N,20,0","BS_P80sp,N,20,0","BS_P85sp,N,20,0","BS_P90sp,N,20,0","BS_P95sp,N,20,0"
1,52.59,48.39,1.00,88.15,82.53,89.70,17.92,35,67,68,71,76,78,79,81,85,89,90,91,91,92,97,101,104,106,106,118
2,7.84,7.30,1.00,90.47,87.10,93.50,17.23,36,61,67,71,75,76,79,81,86,90,94,94,95,98,103,104,107,108,110,117
3,21.35,18.50,1.00,93.96,84.32,97.30,22.41,37,38,70,72,81,83,88,89,91,92,97,98,100,105,106,108,109,117,122,126
4,2.18,2.05,1.00,94.35,87.68,93.00,20.50,36,67,71,72,81,83,84,89,91,93,93,94,101,107,108,108,110,113,117,131
5,12.48,11.99,1.00,94.94,92.14,95.90,16.21,37,70,71,74,78,83,85,86,88,95,96,97,102,105,105,108,108,115,117,120
