"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
1,48.72,46.57,0.93,92.00,89.08,93.20,16.15,50,66,68,76,77,79,82,88,89,92,93,94,95,99,101,105,106,110,112,113
2,7.83,7.54,1.00,91.04,87.24,90.60,18.35,56,58,65,71,79,82,84,84,86,89,91,94,95,96,97,100,106,111,115,127
3,19.61,18.91,0.92,95.44,91.79,95.20,18.01,57,69,74,79,82,83,86,87,93,95,95,96,99,101,102,104,112,113,119,131
4,2.09,2.01,0.96,94.37,91.45,94.90,16.41,57,69,74,77,80,82,87,88,91,93,95,97,98,99,100,107,108,111,117,123
5,12.86,12.45,1.03,92.40,89.41,92.30,16.67,57,63,71,75,80,82,84,86,89,90,92,94,94,96,98,100,105,111,116,123
