"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
1,51.39,49.89,0.92,87.24,84.46,87.00,15.44,126,62,67,70,74,76,80,82,83,85,87,89,90,91,95,97,101,105,108,114
2,8.11,7.93,0.92,87.52,84.24,86.10,16.67,129,60,63,70,74,76,78,81,83,85,86,89,91,92,96,99,103,106,112,116
3,20.37,19.89,0.88,91.40,88.35,90.50,16.18,132,62,71,75,79,82,85,87,88,89,91,93,94,96,99,102,105,109,115,118
4,2.22,2.12,0.93,89.75,86.05,90.20,17.43,136,59,66,73,79,80,83,84,86,88,90,91,92,94,97,99,102,110,113,118
5,13.57,12.94,0.92,88.19,84.69,88.80,16.81,137,58,62,72,74,79,81,83,85,88,89,91,93,95,95,97,100,105,111,116
