"CS2_Id,N,20,0","CS2_AvgTt,N,20,2","CS2_MedTt,N,20,2","CS2_ratio,N,20,2","CS2_AvgSp,N,20,2","CS2_HvgSp,N,20,2","CS2_MedSp,N,20,2","CS2_SdSp,N,20,2","CS2_Hits,N,20,0","CS2_P5sp,N,20,0","CS2_P10sp,N,20,0","CS2_P15sp,N,20,0","CS2_P20sp,N,20,0","CS2_P25sp,N,20,0","CS2_P30sp,N,20,0","CS2_P35sp,N,20,0","CS2_P40sp,N,20,0","CS2_P45sp,N,20,0","CS2_P50sp,N,20,0","CS2_P55sp,N,20,0","CS2_P60sp,N,20,0","CS2_P65sp,N,20,0","CS2_P70sp,N,20,0","CS2_P75sp,N,20,0","CS2_P80sp,N,20,0","CS2_P85sp,N,20,0","CS2_P90sp,N,20,0","CS2_P95sp,N,20,0"
1,53.09,50.41,0.95,86.38,81.75,86.10,16.00,406,61,68,72,76,77,79,80,82,84,86,88,90,93,95,97,99,101,105,111
2,8.37,7.71,0.95,87.05,81.60,88.50,19.03,423,52,61,69,74,76,79,81,83,85,89,90,93,95,98,100,103,106,111,115
3,23.26,19.40,1.01,89.46,77.40,92.80,22.75,429,46,60,68,74,80,83,86,89,91,93,95,97,99,101,103,106,110,115,121
4,2.24,2.09,0.94,91.29,85.27,91.40,18.04,434,61,68,75,79,82,84,85,88,90,91,94,96,98,101,103,106,108,112,120
5,13.42,12.67,0.91,90.50,85.64,90.70,17.71,434,60,68,74,78,81,84,85,87,89,91,92,95,97,100,102,104,107,111,119
