"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
1,14.07,13.49,1.02,85.43,81.69,85.20,16.41,47,63,66,68,72,77,78,81,82,83,85,87,90,93,93,99,101,101,107,109
2,2.31,2.07,1.07,90.67,82.65,92.40,21.14,48,44,66,71,74,79,84,84,87,90,92,96,98,102,105,106,111,112,115,117
3,20.60,19.59,1.02,91.01,87.37,91.90,16.29,48,66,69,75,78,82,84,86,88,91,92,94,97,98,101,104,106,107,109,113
4,7.99,7.62,1.02,89.64,85.41,89.60,16.17,48,69,71,77,79,79,83,84,85,87,90,93,95,98,99,101,102,103,108,111
5,49.84,48.01,1.05,90.34,87.09,90.40,16.14,46,66,71,75,79,80,82,83,86,88,90,91,92,94,101,104,106,107,112,116
