"BS_Id,N,20,0","BS_AvgTt,N,20,2","BS_MedTt,N,20,2","BS_ratio,N,20,2","BS_AvgSp,N,20,2","BS_HvgSp,N,20,2","BS_MedSp,N,20,2","BS_SdSp,N,20,2","BS_Hits,N,20,0","BS_P5sp,N,20,0","BS_P10sp,N,20,0","BS_P15sp,N,20,0","BS_P20sp,N,20,0","BS_P25sp,N,20,0","BS_P30sp,N,20,0","BS_P35sp,N,20,0","BS_P40sp,N,20,0","BS_P45sp,N,20,0","BS_P50sp,N,20,0","BS_P55sp,N,20,0","BS_P60sp,N,20,0","BS_P65sp,N,20,0","BS_P70sp,N,20,0","BS_P75sp,N,20,0","BS_P80sp,N,20,0","BS_P85sp,N,20,0","BS_P90sp,N,20,0","BS_P95sp,N,20,0"
1,13.85,12.79,1.00,87.74,83.00,89.90,18.24,76,47,63,69,72,77,79,83,87,89,90,94,96,97,99,100,102,104,110,115
2,2.17,2.06,1.00,92.07,88.08,92.80,18.33,76,62,69,72,75,78,83,85,90,91,93,96,99,101,102,103,104,107,116,122
3,20.25,19.09,1.00,93.03,88.88,94.30,18.51,73,55,69,74,78,79,83,86,89,90,94,98,99,104,104,105,109,111,114,124
4,7.83,7.26,1.00,93.43,87.20,94.00,21.10,71,50,69,73,78,79,85,87,90,93,94,97,98,102,106,110,111,116,118,127
5,47.38,45.98,1.00,94.70,91.61,94.40,16.37,64,65,74,78,81,85,88,90,91,93,94,96,99,102,103,106,108,111,114,123
