"BS_Id,N,20,0","BS_AvgTt,N,20,2","BS_MedTt,N,20,2","BS_ratio,N,20,2","BS_AvgSp,N,20,2","BS_HvgSp,N,20,2","BS_MedSp,N,20,2","BS_SdSp,N,20,2","BS_Hits,N,20,0","BS_P5sp,N,20,0","BS_P10sp,N,20,0","BS_P15sp,N,20,0","BS_P20sp,N,20,0","BS_P25sp,N,20,0","BS_P30sp,N,20,0","BS_P35sp,N,20,0","BS_P40sp,N,20,0","BS_P45sp,N,20,0","BS_P50sp,N,20,0","BS_P55sp,N,20,0","BS_P60sp,N,20,0","BS_P65sp,N,20,0","BS_P70sp,N,20,0","BS_P75sp,N,20,0","BS_P80sp,N,20,0","BS_P85sp,N,20,0","BS_P90sp,N,20,0","BS_P95sp,N,20,0"
1,13.22,12.39,1.00,90.75,86.92,92.80,17.07,135,60,68,74,77,81,84,86,90,91,93,94,95,96,97,102,105,110,113,115
2,2.09,2.00,1.00,95.25,91.32,95.50,17.72,135,64,73,79,82,84,86,89,92,94,96,97,100,101,104,108,111,115,118,122
3,22.48,18.33,1.00,93.73,80.09,98.20,23.54,135,37,61,78,81,84,87,91,94,96,98,99,101,102,105,110,113,116,119,124
4,7.54,7.05,1.00,96.06,90.52,96.90,20.98,136,56,65,76,79,84,88,89,94,95,97,99,102,105,109,111,115,119,122,126
5,49.19,45.54,1.00,93.68,88.23,95.30,18.78,129,62,70,77,80,83,85,87,91,93,95,97,100,102,105,106,108,111,120,122
