"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
1,14.37,13.52,1.09,84.42,80.00,85.00,17.20,148,54,65,70,73,75,77,79,81,84,85,87,89,91,93,96,98,101,103,109
2,2.22,2.11,1.06,90.54,85.96,90.40,18.78,151,58,69,74,78,79,81,84,87,87,90,93,96,99,101,102,104,107,111,118
3,20.94,19.59,0.93,91.20,85.98,91.90,19.24,150,60,65,75,79,81,83,86,86,90,92,93,95,98,99,102,107,110,113,120
4,8.14,7.54,1.08,89.48,83.83,90.60,20.05,152,54,63,68,76,79,82,83,86,87,91,93,96,97,99,101,105,109,112,122
5,50.74,48.66,1.03,89.62,85.55,89.20,17.91,147,60,68,73,77,79,83,85,86,87,89,92,94,95,97,101,102,105,110,118
