"CS2_Id,N,20,0","CS2_AvgTt,N,20,2","CS2_MedTt,N,20,2","CS2_ratio,N,20,2","CS2_AvgSp,N,20,2","CS2_HvgSp,N,20,2","CS2_MedSp,N,20,2","CS2_SdSp,N,20,2","CS2_Hits,N,20,0","CS2_P5sp,N,20,0","CS2_P10sp,N,20,0","CS2_P15sp,N,20,0","CS2_P20sp,N,20,0","CS2_P25sp,N,20,0","CS2_P30sp,N,20,0","CS2_P35sp,N,20,0","CS2_P40sp,N,20,0","CS2_P45sp,N,20,0","CS2_P50sp,N,20,0","CS2_P55sp,N,20,0","CS2_P60sp,N,20,0","CS2_P65sp,N,20,0","CS2_P70sp,N,20,0","CS2_P75sp,N,20,0","CS2_P80sp,N,20,0","CS2_P85sp,N,20,0","CS2_P90sp,N,20,0","CS2_P95sp,N,20,0"
1,13.53,12.93,0.98,88.79,84.97,88.90,16.44,202,62,69,73,76,79,82,84,85,87,89,91,94,95,97,99,102,104,108,114
2,2.22,2.05,1.02,91.83,86.03,93.20,19.10,208,62,69,74,78,80,84,87,89,91,93,96,98,100,103,104,107,110,113,119
3,20.58,18.58,1.02,94.46,87.49,96.90,19.11,205,62,74,78,80,83,86,89,91,94,97,99,100,102,104,106,109,111,116,123
4,7.52,7.14,0.96,94.93,90.74,95.60,18.34,205,64,75,78,80,82,86,87,89,94,96,98,99,102,105,106,110,115,118,125
5,52.26,46.72,1.10,92.61,83.05,92.90,18.41,185,67,75,79,80,83,85,87,89,91,93,95,97,99,100,103,105,109,112,119
