"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
1,15.18,13.97,1.15,82.89,75.73,82.30,18.27,265,52,58,64,68,72,76,77,79,80,82,86,89,91,93,96,98,101,107,112
2,2.32,2.18,1.11,87.05,82.22,87.60,19.33,268,55,62,67,71,74,77,80,82,85,88,90,92,95,98,100,103,108,113,118
3,22.87,20.57,1.02,86.77,78.73,87.50,21.69,257,48,56,64,70,75,78,81,83,86,88,90,94,96,99,101,104,108,112,118
4,10.54,7.78,1.40,85.35,64.79,87.80,23.98,258,44,56,62,66,72,76,79,82,85,88,90,93,95,98,101,103,108,114,120
5,53.30,50.59,1.08,86.32,81.43,85.80,18.11,240,57,66,69,72,75,78,80,82,83,86,88,90,93,94,98,101,102,110,116
