"CS2_Id,N,20,0","CS2_AvgTt,N,20,2","CS2_MedTt,N,20,2","CS2_ratio,N,20,2","CS2_AvgSp,N,20,2","CS2_HvgSp,N,20,2","CS2_MedSp,N,20,2","CS2_SdSp,N,20,2","CS2_Hits,N,20,0","CS2_P5sp,N,20,0","CS2_P10sp,N,20,0","CS2_P15sp,N,20,0","CS2_P20sp,N,20,0","CS2_P25sp,N,20,0","CS2_P30sp,N,20,0","CS2_P35sp,N,20,0","CS2_P40sp,N,20,0","CS2_P45sp,N,20,0","CS2_P50sp,N,20,0","CS2_P55sp,N,20,0","CS2_P60sp,N,20,0","CS2_P65sp,N,20,0","CS2_P70sp,N,20,0","CS2_P75sp,N,20,0","CS2_P80sp,N,20,0","CS2_P85sp,N,20,0","CS2_P90sp,N,20,0","CS2_P95sp,N,20,0"
1,31.56,24.27,1.41,22.03,16.23,21.10,10.61,47,9,10,13,14,15,17,18,19,20,21,22,23,24,26,28,29,30,34,37
2,30.46,29.83,1.04,32.68,30.17,30.80,10.13,34,21,21,24,25,26,27,27,29,31,31,32,33,35,35,37,39,41,45,54
3,32.68,29.99,1.15,38.76,36.06,39.30,10.09,39,21,26,28,30,30,34,34,37,39,39,39,41,41,43,47,47,49,50,56
4,41.43,36.62,1.28,42.42,37.92,42.90,11.40,40,18,26,32,33,37,38,39,40,41,43,44,44,46,48,49,50,52,56,58
5,1.34,1.10,1.42,54.95,45.74,55.50,15.69,46,28,29,41,48,49,50,50,53,54,56,57,58,59,64,67,68,71,74,80
6,3.06,2.87,1.24,57.03,52.49,56.10,13.78,47,32,37,47,48,49,53,53,55,56,56,57,61,62,65,67,70,71,74,80
7,52.07,49.94,1.03,69.73,67.43,70.30,11.43,199,49,56,60,61,63,65,67,69,70,70,71,73,74,75,76,78,81,85,87
8,20.15,18.53,1.05,77.65,73.66,80.10,14.29,203,53,59,63,66,68,70,73,75,77,80,82,84,84,85,88,90,92,95,99
9,0.23,0.22,1.00,79.45,75.90,80.80,15.86,205,53,60,63,67,68,71,73,75,78,81,83,85,87,88,90,92,95,97,102
10,0.23,0.22,1.00,79.44,75.90,80.60,15.84,205,53,60,63,67,68,71,73,75,78,81,83,85,87,88,91,92,95,98,102
11,22.13,20.51,1.08,73.63,68.79,74.20,15.16,203,52,55,58,61,63,66,68,70,72,74,76,78,81,84,85,87,90,91,97
12,12.54,11.09,1.07,74.57,66.30,75.00,14.69,203,50,56,59,63,65,67,69,71,73,75,78,80,81,83,86,88,90,92,95
13,15.71,13.76,0.99,69.54,62.12,70.90,17.26,200,40,45,51,56,59,62,66,67,69,71,73,75,78,80,82,84,88,90,94
14,51.59,49.66,0.96,76.02,73.54,76.40,12.23,194,57,62,64,66,68,70,72,73,74,76,78,80,81,83,85,86,89,91,96
15,20.79,20.26,0.99,73.20,71.44,73.30,11.11,193,55,58,61,62,65,68,70,71,72,73,74,76,78,80,81,83,85,88,91
16,0.68,0.66,1.02,79.46,77.11,79.80,13.24,195,57,63,66,69,71,72,75,77,78,80,82,83,84,86,88,91,92,96,102
17,3.94,3.79,1.02,80.24,77.76,80.80,13.23,195,57,64,67,69,72,74,76,78,80,81,82,84,86,87,89,91,92,97,102
18,16.74,16.11,1.01,83.32,81.54,84.70,12.00,194,64,68,70,72,74,76,79,80,83,85,85,87,88,89,91,94,96,98,103
19,55.50,54.18,1.05,85.19,83.27,85.30,12.51,191,64,69,72,75,78,80,81,83,84,85,86,88,89,91,93,95,98,102,106
20,22.18,21.62,1.04,82.44,80.61,82.70,12.09,193,62,67,69,72,75,76,79,80,81,83,84,86,87,89,90,91,94,98,103
21,11.54,11.28,1.02,83.94,81.91,83.80,12.26,197,61,69,74,76,77,79,79,81,83,84,86,87,89,90,92,94,96,99,104
22,17.57,16.12,1.11,84.03,78.89,86.00,14.37,199,58,68,72,75,78,80,81,84,85,86,87,88,90,91,93,95,97,100,104
23,4.58,4.00,1.15,85.99,76.40,87.60,14.00,197,63,72,76,78,79,81,84,85,86,88,88,90,92,93,94,96,98,100,105
24,3.27,3.04,1.06,87.96,83.62,89.80,15.22,197,60,72,77,79,82,84,85,86,88,90,91,92,93,96,97,98,101,105,107
25,9.23,8.77,1.06,91.32,87.33,91.90,12.68,189,70,76,80,83,85,86,88,90,91,92,93,94,97,98,99,101,103,107,109
26,28.22,27.50,0.98,90.76,89.15,91.50,11.71,185,72,77,79,81,83,84,86,88,90,92,92,94,95,97,99,101,103,107,109
27,2.98,2.87,1.03,93.55,90.78,94.10,13.54,186,73,79,81,84,85,88,89,91,93,94,96,98,99,101,103,105,108,109,112
28,96.63,96.33,1.06,84.47,83.05,83.30,10.21,176,69,75,76,77,78,80,80,81,83,83,84,86,87,89,92,93,96,97,100
29,7.88,7.75,1.04,80.94,78.75,80.10,12.09,183,61,69,72,73,74,75,77,78,79,80,81,83,86,88,90,92,93,94,98
30,9.81,8.80,1.13,79.17,71.55,79.80,14.20,179,59,65,70,72,74,76,76,78,79,80,81,82,83,85,86,89,91,94,98
31,12.50,12.05,1.05,84.37,81.53,84.60,13.21,177,64,70,74,76,78,80,81,82,84,85,86,88,88,89,91,94,97,99,104
