"CS2_Id,N,20,0","CS2_AvgTt,N,20,2","CS2_MedTt,N,20,2","CS2_ratio,N,20,2","CS2_AvgSp,N,20,2","CS2_HvgSp,N,20,2","CS2_MedSp,N,20,2","CS2_SdSp,N,20,2","CS2_Hits,N,20,0","CS2_P5sp,N,20,0","CS2_P10sp,N,20,0","CS2_P15sp,N,20,0","CS2_P20sp,N,20,0","CS2_P25sp,N,20,0","CS2_P30sp,N,20,0","CS2_P35sp,N,20,0","CS2_P40sp,N,20,0","CS2_P45sp,N,20,0","CS2_P50sp,N,20,0","CS2_P55sp,N,20,0","CS2_P60sp,N,20,0","CS2_P65sp,N,20,0","CS2_P70sp,N,20,0","CS2_P75sp,N,20,0","CS2_P80sp,N,20,0","CS2_P85sp,N,20,0","CS2_P90sp,N,20,0","CS2_P95sp,N,20,0"
32,14.72,14.30,1.03,88.10,85.69,88.20,13.35,175,68,73,76,79,81,83,85,86,86,88,90,91,93,94,96,97,99,104,109
33,1.54,1.47,1.08,87.19,83.02,87.40,15.34,177,57,72,76,79,81,83,83,85,87,87,89,90,92,95,96,98,99,104,111
34,8.16,7.85,1.08,87.39,83.54,86.80,14.56,177,60,72,77,80,81,83,84,85,86,87,89,91,92,95,97,98,100,104,111
35,54.01,52.37,1.08,92.22,89.59,92.40,13.30,177,72,77,79,83,84,86,89,90,91,92,94,95,97,98,101,102,106,108,112
36,13.77,13.29,1.07,86.87,84.27,87.30,14.14,179,63,69,73,76,77,79,81,84,85,87,89,91,93,96,97,99,103,106,109
37,25.86,25.04,1.02,84.68,82.86,85.60,12.10,177,62,68,71,75,76,78,80,82,84,86,86,88,90,92,94,96,98,101,103
38,1.36,1.30,1.05,88.11,85.66,89.00,14.00,181,64,69,74,76,79,81,83,86,87,89,92,93,95,96,97,100,101,105,108
39,11.96,11.48,1.01,85.19,83.06,86.50,12.85,179,63,66,72,75,78,79,80,82,84,87,88,91,92,92,95,96,97,100,104
40,3.84,3.68,0.99,86.15,83.65,87.10,13.96,181,61,68,73,76,77,79,81,83,86,87,89,91,92,94,97,98,100,103,106
41,9.55,6.71,1.39,86.45,62.01,88.30,17.83,185,61,68,74,76,77,80,82,85,88,88,91,93,94,96,97,99,101,102,108
42,2.55,1.83,1.35,85.54,62.94,87.70,17.87,186,56,68,73,75,77,80,82,85,86,88,90,92,94,96,97,99,101,104,108
43,23.38,19.64,1.15,80.63,69.22,82.40,15.77,177,53,67,70,73,75,76,78,80,81,82,84,86,88,90,90,92,94,96,100
44,4.90,4.76,0.99,66.51,64.10,66.00,11.05,174,48,56,58,59,60,62,63,64,65,66,67,68,70,72,73,76,78,79,84
45,7.63,6.06,0.95,60.82,53.16,66.90,17.97,243,30,35,37,39,44,52,59,62,64,67,69,70,71,72,74,76,78,80,82
46,8.63,7.37,1.01,73.04,63.99,74.90,14.11,256,47,57,61,64,66,68,71,72,74,75,76,78,80,81,82,84,86,88,93
47,5.79,5.08,1.04,76.78,69.88,79.70,15.87,258,51,56,60,65,68,71,74,76,78,80,81,83,84,86,88,90,92,95,99
48,28.01,24.65,1.07,72.19,64.86,73.70,14.06,244,52,55,60,63,65,67,69,71,72,74,76,77,79,80,81,83,86,88,91
49,2.37,2.08,0.90,73.37,66.00,75.30,18.00,258,31,51,57,62,65,68,71,73,74,75,77,79,82,83,85,87,91,95,99
50,9.80,9.49,0.98,69.90,67.69,69.90,12.04,257,49,54,56,59,62,64,65,67,69,70,72,74,75,77,79,80,81,86,90
51,1.10,1.09,0.98,71.79,70.19,71.10,10.62,259,55,60,61,63,65,66,67,69,70,71,72,73,75,77,79,81,83,86,89
52,0.50,0.50,0.98,71.85,70.26,71.00,10.59,260,55,60,61,64,65,66,67,69,70,71,72,73,75,77,79,81,83,85,89
53,0.71,0.70,0.97,71.88,70.30,71.30,10.59,259,55,60,62,64,65,66,67,69,70,71,72,74,75,77,79,81,83,85,89
54,6.44,6.30,0.97,72.37,70.77,72.40,10.48,257,55,60,62,65,66,68,69,70,71,72,73,74,76,77,80,81,83,84,90
55,0.49,0.47,0.97,74.79,72.89,75.50,11.39,259,55,61,63,65,68,70,71,73,74,76,77,78,80,81,82,84,86,88,93
56,25.89,25.17,0.95,76.64,74.96,77.10,10.97,255,58,62,64,67,70,72,73,75,76,77,79,80,81,82,84,86,88,90,96
57,3.77,3.63,0.93,78.56,75.98,78.90,13.04,263,58,63,65,68,71,72,75,76,78,79,81,82,84,85,87,89,91,95,98
58,0.66,0.64,0.93,80.58,78.56,80.90,12.23,263,59,64,68,71,72,74,77,79,80,81,82,84,85,87,89,91,94,97,99
59,12.80,12.27,0.94,82.64,80.15,83.60,11.97,263,64,68,71,73,76,78,79,81,82,84,85,86,87,89,91,92,93,96,101
60,42.34,41.30,0.94,84.54,82.41,84.50,13.04,259,62,67,71,73,76,78,79,81,83,85,87,89,91,92,93,95,98,101,106
61,5.87,5.62,0.87,81.67,78.04,81.50,16.39,260,52,59,64,69,71,74,76,78,79,82,84,87,88,91,94,96,98,100,107
62,4.53,4.21,0.89,78.52,74.35,80.00,16.80,263,49,55,61,66,69,70,72,76,77,80,82,83,86,88,90,93,97,98,103
63,1.10,1.04,0.90,78.96,75.44,80.20,15.55,264,52,57,62,66,70,72,73,76,79,80,82,83,85,88,90,92,96,99,103
64,1.10,1.04,0.91,78.83,75.30,79.60,15.50,264,51,57,62,67,70,72,74,76,78,80,82,83,85,88,89,91,95,99,103
65,4.07,3.81,0.92,78.18,74.01,78.90,15.64,265,49,57,63,68,70,72,74,75,77,79,81,83,85,87,89,90,93,97,103
66,44.45,42.15,0.95,78.60,74.52,78.60,14.79,255,56,62,65,67,70,71,73,75,76,79,80,81,84,87,90,91,94,97,103
67,117.51,112.93,1.01,87.02,84.76,88.20,12.22,221,68,72,76,78,79,81,82,85,87,88,90,91,92,94,95,97,99,101,107
68,49.16,48.26,0.93,90.06,88.15,89.80,12.41,232,68,75,78,80,82,84,86,87,89,90,92,94,95,97,99,101,104,106,110
69,21.99,21.14,1.00,87.54,84.68,88.10,14.44,236,64,71,74,77,79,81,84,85,87,88,90,92,93,95,96,99,102,106,111
70,27.18,24.58,0.99,85.30,78.32,86.60,16.93,238,53,65,70,74,77,80,82,84,85,87,89,90,92,94,96,98,100,105,111
71,9.79,9.19,1.00,85.19,81.66,87.00,15.04,243,60,69,73,75,77,78,80,83,84,87,89,91,92,93,95,97,99,101,107
72,12.25,11.62,1.02,86.19,83.33,87.80,14.24,247,63,69,73,75,77,81,82,83,86,88,89,91,92,94,95,98,99,103,108
73,54.33,53.15,0.99,89.97,88.14,90.10,12.32,242,70,75,77,81,82,83,86,87,88,90,91,93,94,95,97,100,103,106,112
74,0.66,0.64,1.00,92.28,89.72,92.70,14.34,245,67,76,79,82,83,85,87,90,91,93,94,96,98,100,101,104,107,110,115
75,0.20,0.19,1.00,92.49,89.92,92.80,14.37,245,67,77,80,82,83,85,87,90,91,93,94,96,98,100,102,104,107,110,115
76,0.20,0.19,1.00,92.49,89.92,92.80,14.37,245,67,77,80,82,83,85,87,90,91,93,94,96,98,100,102,104,107,110,115
77,1.37,1.32,1.00,92.16,89.54,92.60,14.42,245,67,75,79,82,83,85,87,89,91,93,94,96,97,100,101,103,107,109,115
78,30.87,30.21,0.99,90.23,88.06,90.00,12.98,244,69,75,78,81,84,86,87,88,89,90,92,93,95,96,98,100,102,105,112
79,39.47,37.85,1.01,89.30,86.03,89.70,14.21,243,69,74,77,79,81,83,85,86,88,90,92,94,95,96,97,101,103,105,110
80,22.33,21.48,0.99,88.79,86.41,89.80,13.51,244,67,71,75,79,81,84,85,86,88,90,91,92,94,96,97,100,102,105,110
81,49.86,48.39,0.97,84.62,82.49,85.00,12.53,250,62,67,72,75,78,79,82,83,84,85,87,88,90,92,93,95,97,100,103
82,17.56,17.13,0.98,90.06,87.96,90.20,12.99,252,68,74,77,80,82,84,86,87,88,90,92,94,95,97,98,100,103,105,113
83,19.10,18.56,0.81,87.75,85.31,87.80,13.93,251,65,69,73,78,80,82,82,85,86,88,90,91,93,95,98,100,103,107,110
84,15.80,14.82,1.02,85.29,80.84,86.20,15.08,252,60,69,71,75,77,80,82,84,85,86,87,89,90,93,94,95,100,102,109
85,58.31,55.90,0.99,83.37,80.61,84.10,13.75,254,59,67,71,74,76,78,80,81,83,84,85,87,89,90,93,95,96,101,105
86,40.04,35.48,1.02,69.80,62.74,70.80,15.66,250,44,51,55,59,61,64,65,66,69,71,74,75,77,78,80,82,85,87,92
87,32.43,30.35,1.00,74.62,70.19,75.00,14.30,198,49,59,62,64,67,69,71,73,74,75,77,78,80,82,84,86,88,90,95
88,37.96,36.92,0.99,85.03,82.47,84.80,13.21,200,63,70,73,78,79,80,82,83,84,85,87,88,90,91,93,95,96,99,104
89,23.18,21.72,1.02,88.48,84.61,90.30,16.01,201,64,71,75,77,79,82,84,86,89,90,92,94,96,96,98,100,102,105,111
90,13.72,13.06,1.01,88.62,84.43,88.70,16.19,202,65,70,75,77,79,80,84,86,88,89,92,94,95,97,99,101,103,106,112
91,17.38,16.40,0.87,87.01,83.51,88.50,14.98,205,63,70,73,76,78,80,82,85,87,89,90,91,94,96,97,99,101,105,109
92,0.77,0.74,0.85,89.92,86.19,90.20,16.25,206,59,73,76,78,80,83,86,88,89,90,93,95,97,99,101,102,105,108,114
93,11.90,11.14,0.85,87.89,84.13,89.90,15.93,203,55,71,74,76,79,81,83,87,88,90,91,92,94,96,98,100,103,106,111
94,21.08,19.90,0.84,92.68,88.94,94.20,15.50,203,72,76,79,82,84,86,89,91,93,94,96,97,98,100,103,105,107,109,117
95,2.51,2.37,0.91,93.24,89.73,94.80,15.60,205,69,76,79,81,84,87,89,91,94,95,96,98,100,101,103,106,109,112,116
96,25.74,24.23,1.01,89.41,85.38,90.70,15.89,203,63,73,76,78,81,82,84,86,89,91,93,95,96,98,101,103,105,106,112
97,6.39,5.98,1.01,94.25,89.34,95.60,17.03,203,61,75,79,82,84,87,89,92,94,96,98,99,102,104,106,108,111,114,117
98,19.62,18.45,1.01,92.90,89.04,94.70,16.55,204,57,73,78,82,85,87,88,90,93,95,97,99,101,102,105,106,107,111,115
99,32.41,31.16,0.99,96.48,93.73,97.50,15.15,199,70,79,82,85,88,90,92,94,96,98,99,101,103,105,106,108,110,113,117
100,29.05,26.99,1.02,91.29,87.22,93.90,16.95,203,63,70,74,78,80,83,86,89,92,94,95,97,97,100,103,106,107,111,116
101,10.37,9.48,1.02,93.58,88.86,97.20,18.40,207,52,68,77,81,85,88,90,92,95,97,99,101,102,104,106,108,110,114,117
102,37.74,34.78,1.02,91.08,85.14,92.40,17.00,207,64,73,76,79,82,83,86,89,90,92,94,97,99,102,103,104,106,108,117
103,5.16,4.76,0.97,90.79,85.89,93.20,18.73,209,55,65,73,78,80,84,87,88,91,93,94,97,99,101,103,105,108,113,120
104,39.02,37.87,0.98,82.95,79.68,82.10,15.32,207,55,65,69,71,74,76,78,79,81,82,84,87,90,92,94,96,98,101,105
