"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
46,8.37,7.46,0.93,72.70,66.02,74.00,14.52,107,49,58,60,64,66,68,70,71,72,74,75,76,77,78,79,81,86,88,96
47,5.43,5.21,0.75,77.37,74.55,77.70,14.38,107,56,59,63,65,68,71,72,74,76,78,78,81,81,84,85,89,91,96,101
48,25.31,24.72,0.94,74.12,71.78,73.50,13.10,104,55,59,62,63,66,68,69,71,72,74,75,76,77,79,82,83,86,93,97
49,2.18,2.02,0.90,77.31,71.82,77.60,16.24,109,53,60,64,65,68,70,73,74,76,78,79,81,83,86,88,91,92,94,102
50,9.44,9.06,0.97,72.54,70.24,73.20,12.97,110,53,54,60,62,63,65,68,69,71,73,74,75,77,78,80,81,85,89,93
51,1.10,1.08,0.98,71.95,70.05,71.30,11.55,110,55,58,60,63,65,66,68,69,70,71,73,75,76,77,79,81,83,85,91
52,0.50,0.49,0.98,71.95,70.05,71.30,11.56,110,55,58,61,62,65,66,68,69,70,71,73,75,76,77,79,81,82,85,91
53,0.71,0.70,0.99,71.77,69.79,71.30,11.73,110,54,58,60,62,66,66,68,69,70,71,73,75,76,77,79,80,82,85,91
54,6.49,6.29,0.98,72.20,70.26,72.50,11.58,109,55,58,60,62,65,66,68,69,71,73,73,76,77,79,80,81,83,86,88
55,0.49,0.47,0.97,74.79,72.87,76.20,11.60,109,57,60,62,66,68,69,70,71,75,76,77,78,79,80,82,84,87,89,92
56,25.86,25.37,0.98,77.00,75.03,76.50,12.05,108,57,63,66,67,69,70,72,74,76,77,79,80,82,83,85,88,89,92,95
57,3.82,3.70,0.99,77.83,74.92,77.40,14.63,110,49,61,65,67,69,70,73,74,76,77,79,81,83,84,86,88,93,94,101
58,0.68,0.66,1.00,79.68,76.35,79.50,14.60,111,53,64,68,70,72,74,76,77,78,80,81,83,85,87,88,90,94,95,101
59,12.73,12.34,0.95,83.18,80.58,83.10,13.86,110,60,68,71,74,75,77,79,80,82,83,84,86,88,92,93,94,96,100,105
60,43.18,42.50,0.97,83.33,80.81,82.10,14.54,108,59,69,70,72,74,76,77,80,82,82,83,85,87,89,91,93,96,103,109
