"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
40,4.07,3.91,1.05,81.14,78.82,82.10,12.71,68,60,65,68,70,72,76,79,80,82,82,83,86,87,90,90,92,94,97,100
41,8.42,7.12,1.23,82.14,70.28,83.10,15.89,70,58,66,67,69,72,74,79,80,83,83,86,88,90,90,92,94,97,98,101
42,2.27,1.91,1.20,82.46,70.72,84.00,15.95,71,60,67,68,70,72,76,77,79,83,84,87,89,90,90,92,93,98,99,101
43,20.85,20.85,1.03,78.93,77.63,77.60,10.11,68,61,64,69,71,71,74,75,77,77,78,80,83,84,85,86,87,89,90,94
44,4.92,4.65,0.99,65.80,63.84,67.50,10.36,67,50,52,56,57,60,62,63,63,65,68,68,70,70,71,71,74,75,77,83
45,7.00,6.12,0.87,62.94,57.92,66.30,15.83,83,34,37,40,44,52,58,62,64,66,66,68,70,71,73,74,77,78,79,83
46,7.48,7.20,0.87,75.39,73.83,76.70,10.63,84,58,61,64,67,67,70,71,73,76,77,77,79,79,81,82,84,87,89,93
47,5.33,5.08,0.96,78.24,75.89,79.70,12.83,84,58,61,62,68,71,73,74,75,77,80,81,82,84,86,87,89,90,94,99
48,27.20,24.99,1.04,72.36,66.81,72.70,13.97,83,53,55,58,62,64,66,69,71,72,73,74,76,78,79,81,83,85,89,91
49,2.32,2.04,0.88,74.53,67.57,76.90,17.25,91,39,49,61,66,66,69,71,74,76,77,79,80,82,83,85,87,91,93,99
50,10.00,9.37,1.00,69.79,66.31,70.80,12.23,91,51,54,56,61,62,64,67,69,70,71,73,75,79,79,79,80,81,82,85
51,1.16,1.07,1.03,69.98,66.61,71.90,12.07,92,52,54,58,61,64,65,66,67,70,72,73,73,75,76,78,79,81,83,88
52,0.53,0.49,1.03,70.24,66.78,72.00,12.39,92,52,55,58,61,64,65,67,67,70,72,73,74,75,76,78,79,81,84,89
53,0.74,0.69,1.02,70.55,67.13,72.10,12.25,94,49,57,59,62,64,65,67,69,71,72,73,73,75,76,78,79,81,84,89
54,6.69,6.27,1.01,71.55,68.15,72.70,11.83,94,54,57,62,64,65,68,69,71,72,73,74,74,76,77,78,80,82,85,88
55,0.51,0.47,1.01,73.58,69.63,75.00,12.44,94,54,61,65,66,67,69,70,73,75,75,76,77,78,80,81,83,85,87,90
56,27.11,25.63,1.00,75.01,71.59,75.70,12.12,94,58,63,65,67,68,69,71,73,75,76,77,79,80,81,83,84,85,89,92
57,3.80,3.69,0.94,77.73,75.38,77.60,12.87,94,57,62,64,68,70,71,73,75,77,78,79,80,81,83,86,88,90,94,100
58,0.66,0.64,0.93,80.49,78.69,80.90,11.96,94,61,64,68,70,72,74,75,78,79,81,82,83,86,87,90,91,93,96,100
59,12.48,12.30,0.92,83.46,82.18,83.40,10.24,94,66,70,72,75,77,78,80,81,82,83,85,86,88,89,91,93,94,98,99
60,42.28,41.25,0.94,84.29,82.54,84.60,12.10,96,64,68,73,74,75,78,80,83,84,85,86,88,89,90,91,92,95,99,104
61,5.78,5.40,0.86,83.75,79.13,84.70,16.28,99,63,67,68,72,74,77,78,81,82,85,86,89,90,92,93,96,100,103,107
62,4.35,4.04,0.85,80.90,77.41,83.30,15.05,100,57,62,67,68,72,73,76,77,78,83,85,86,88,89,91,92,94,96,102
63,1.08,1.01,0.88,80.43,77.11,82.00,14.50,100,58,65,66,68,70,72,76,77,79,82,86,87,88,89,90,91,93,96,102
64,1.08,1.02,0.89,80.23,76.88,81.40,14.54,100,57,64,66,69,70,72,74,77,78,81,85,87,88,89,90,91,93,95,102
65,3.93,3.71,0.89,79.74,76.58,81.20,14.25,100,56,62,67,68,70,71,74,75,79,81,85,86,88,89,90,91,91,94,101
