"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
50,10.25,9.65,1.05,68.13,64.68,68.70,12.75,231,47,53,56,58,59,61,64,65,67,69,71,73,74,76,78,79,80,83,88
51,1.14,1.10,1.01,70.28,68.03,70.20,12.20,234,51,55,58,60,62,65,65,68,69,70,71,73,75,76,77,80,82,86,92
52,0.52,0.50,1.01,70.31,68.06,70.30,12.20,234,51,55,58,60,62,65,66,68,69,70,71,73,75,76,78,80,82,85,92
53,0.73,0.71,1.01,70.25,68.01,70.20,12.19,234,51,55,58,60,62,64,65,67,69,70,71,73,75,76,77,80,82,85,92
54,6.67,6.47,1.01,70.43,68.32,70.50,11.52,233,50,57,59,61,64,65,66,68,70,71,73,74,75,76,77,79,82,86,88
55,0.51,0.48,1.01,72.28,70.00,73.60,11.45,234,52,58,61,64,65,68,69,71,73,74,75,76,77,78,79,81,83,86,89
56,27.15,25.94,1.03,73.62,71.46,74.80,11.29,233,54,61,62,64,67,69,70,73,74,75,76,77,78,79,81,83,85,87,90
57,4.08,3.86,1.06,73.68,70.07,74.10,13.99,239,51,56,61,65,66,68,70,71,73,74,76,78,79,80,82,84,87,91,95
58,0.71,0.68,1.04,76.10,73.39,76.70,13.16,239,52,58,63,66,70,71,73,74,75,77,78,79,81,82,84,86,88,93,97
59,13.23,12.89,0.99,79.54,77.55,79.60,12.01,238,59,65,66,68,73,74,76,77,79,80,81,83,85,86,88,90,92,95,98
60,43.89,43.35,0.98,81.30,79.51,80.50,11.94,231,62,67,69,71,73,75,76,78,79,81,83,85,86,87,89,91,94,96,103
61,5.86,5.76,0.91,80.71,78.09,79.50,14.49,237,57,63,66,68,70,72,74,77,78,80,82,84,86,87,90,92,96,101,107
62,4.46,4.34,0.98,78.21,75.52,77.50,14.12,237,55,60,64,67,69,70,73,74,76,78,80,82,83,85,88,90,93,96,103
63,1.10,1.06,0.98,78.34,75.87,78.20,13.60,238,59,62,65,67,70,71,73,74,76,78,80,81,83,85,87,91,93,96,102
64,1.09,1.07,0.99,78.20,75.73,77.60,13.49,239,57,62,65,67,70,71,73,74,76,78,80,81,83,86,87,90,92,95,102
65,3.96,3.86,0.98,78.40,75.99,78.00,13.17,239,58,63,66,68,70,72,73,74,76,78,80,81,83,86,87,89,92,95,102
66,43.95,43.25,1.00,77.72,75.37,76.60,13.16,231,55,62,66,69,70,71,72,73,75,77,78,80,82,84,86,89,92,97,101
67,119.97,115.68,1.01,85.30,83.02,86.10,12.79,224,65,69,73,76,78,80,81,82,85,86,87,88,90,91,93,96,98,101,108
68,52.94,50.62,1.09,85.31,81.86,85.60,14.83,235,61,68,72,74,76,79,81,82,84,86,87,89,91,93,95,98,100,104,108
69,23.78,22.27,1.11,82.23,78.30,83.60,16.15,239,52,60,67,69,74,75,77,79,82,84,85,87,88,90,93,95,98,102,107
70,27.79,26.41,1.02,80.51,76.61,80.60,16.16,239,54,60,64,67,71,72,75,77,79,81,83,86,87,89,91,93,97,102,108
71,10.50,9.89,1.09,80.58,76.14,80.80,15.32,243,55,62,68,71,73,74,76,77,79,81,83,84,85,87,90,92,96,100,106
72,13.17,12.49,1.07,81.26,77.48,81.70,15.91,246,54,59,67,70,73,75,77,79,81,82,84,85,87,89,91,93,96,101,106
73,58.14,55.75,1.05,85.59,82.37,85.90,15.58,246,60,67,71,74,76,78,80,82,84,86,87,88,90,93,96,98,101,106,112
74,0.70,0.68,1.06,88.21,84.35,87.50,17.68,257,62,65,71,75,78,80,81,83,85,88,90,92,94,96,99,103,106,110,120
75,0.21,0.20,1.06,88.47,84.57,87.80,17.79,257,62,66,71,75,78,80,81,83,85,88,91,92,95,96,99,103,106,111,120
76,0.21,0.20,1.06,88.47,84.57,87.80,17.79,257,62,66,71,75,78,80,81,83,85,88,91,92,95,96,99,103,106,111,120
77,1.45,1.40,1.06,88.31,84.46,87.50,17.66,257,61,66,71,75,78,80,81,83,85,88,90,93,94,96,99,103,106,110,120
78,33.15,32.06,1.07,85.10,82.01,84.80,15.29,252,57,64,71,74,77,79,81,82,84,85,86,88,90,92,94,97,100,104,113
79,41.67,40.18,1.08,84.66,81.48,84.50,15.14,257,61,66,69,73,75,79,79,82,83,85,86,88,90,91,93,95,101,104,110
80,23.87,22.94,1.07,84.42,80.84,84.10,16.01,260,56,65,67,72,76,77,80,82,83,84,86,88,90,92,93,97,101,106,110
81,52.15,49.14,1.08,81.89,78.88,83.70,13.97,266,59,65,68,72,74,76,78,79,82,84,85,86,87,89,90,93,95,99,103
82,19.55,17.90,1.11,85.99,79.02,86.30,17.46,269,58,65,69,72,76,79,80,83,85,86,89,91,93,94,95,100,103,108,112
83,22.28,19.38,1.14,82.88,73.13,84.10,18.67,272,52,61,65,67,74,77,79,81,82,84,86,88,89,92,94,96,102,105,112
84,16.66,15.45,0.97,80.98,76.70,82.70,16.38,273,54,60,65,67,70,74,76,78,80,83,85,86,87,89,92,94,96,100,108
85,62.24,58.91,1.07,79.13,75.53,79.80,15.08,271,54,60,65,68,70,72,75,76,78,80,81,84,86,87,88,90,93,98,103
86,43.95,39.31,1.20,62.36,57.15,63.90,15.66,270,35,41,46,49,52,54,57,59,62,64,66,67,69,70,72,75,78,80,87
87,35.33,33.04,1.02,68.77,64.44,68.90,14.39,195,48,53,56,57,61,62,64,66,67,69,70,72,74,75,77,80,81,86,93
88,40.18,38.50,1.00,80.58,77.91,81.30,13.49,201,60,65,67,69,73,74,76,78,79,81,83,84,87,88,89,91,94,97,100
89,24.06,23.05,1.03,85.05,81.51,85.10,15.57,208,60,67,72,75,76,77,79,81,82,85,87,89,92,94,96,98,101,105,109
90,14.15,13.44,1.01,85.46,81.89,86.20,15.28,210,62,68,71,73,76,77,80,82,83,86,89,91,93,94,96,98,100,104,107
91,17.95,16.89,1.02,84.69,80.83,85.90,15.61,212,63,68,71,73,74,77,79,81,83,86,88,89,92,94,96,98,102,104,106
92,0.77,0.75,0.99,89.75,86.25,89.30,15.78,214,65,72,75,77,80,82,85,86,89,89,91,92,95,98,102,104,107,109,112
93,11.97,11.42,1.00,87.09,83.63,87.70,15.64,212,63,69,71,72,77,80,81,83,85,88,90,92,94,96,99,103,105,106,109
94,21.55,20.85,1.00,90.49,87.01,89.90,15.82,211,64,73,76,79,81,84,85,88,89,90,92,95,97,100,102,104,106,109,115
95,2.58,2.47,1.00,90.66,87.13,91.00,16.25,210,63,71,76,79,81,83,85,87,89,91,94,96,98,99,103,105,107,110,115
96,26.05,25.09,0.98,87.61,84.36,87.60,15.33,208,61,67,73,77,79,82,83,85,86,88,90,92,94,97,98,101,103,105,110
97,6.50,6.23,0.98,91.28,87.90,91.70,15.59,207,61,75,79,81,82,84,86,87,89,92,94,96,98,101,103,104,107,110,113
98,20.11,19.35,0.98,90.42,86.88,90.30,15.76,208,63,71,76,80,82,84,85,86,88,90,92,95,97,100,102,103,105,110,115
99,33.47,32.18,0.99,94.22,90.76,94.40,15.70,207,67,76,81,84,85,88,89,92,93,94,96,99,100,102,103,106,109,115,119
100,29.59,28.70,1.01,89.25,85.63,88.30,17.05,211,58,67,73,76,79,81,83,85,87,88,91,94,96,98,101,103,107,111,117
101,10.47,9.84,0.99,92.96,87.95,93.60,18.97,212,60,69,77,79,82,85,87,89,92,94,95,98,100,102,105,107,112,116,123
102,37.08,35.71,0.99,90.05,86.68,90.00,15.97,215,67,70,75,77,80,82,84,85,88,90,92,94,96,99,100,103,105,110,115
103,5.59,5.01,1.02,86.55,79.40,88.60,19.76,223,50,61,68,75,77,79,81,85,87,89,91,93,95,97,99,101,104,109,115
104,41.64,38.87,1.01,78.76,74.68,80.00,15.95,223,46,59,64,68,70,72,76,77,79,80,82,83,85,87,89,91,94,96,101
