"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
1,35.93,27.83,1.36,18.85,14.25,18.40,7.73,64,7,10,11,12,13,15,17,17,18,18,20,21,21,22,23,24,26,28,33
2,36.45,31.47,0.83,28.77,25.21,29.20,7.66,47,18,19,22,22,24,25,26,27,29,29,30,31,31,31,33,34,36,39,41
3,39.63,34.97,0.96,33.78,29.74,33.70,9.20,56,13,25,27,30,30,30,30,33,34,34,34,34,35,38,39,39,43,45,49
4,45.41,43.04,1.06,38.12,34.60,36.50,9.87,60,14,26,30,32,33,34,34,35,36,37,39,41,42,43,45,45,47,50,54
5,1.31,1.24,1.04,50.38,46.70,49.20,15.33,73,30,33,35,37,40,42,47,48,48,49,52,53,54,55,58,60,62,67,71
6,3.30,3.14,1.04,52.32,48.72,51.20,15.35,73,31,35,37,40,42,44,47,49,50,51,53,54,55,58,60,62,66,69,74
7,54.00,51.63,0.94,67.34,65.01,68.00,11.16,211,47,55,58,60,61,62,64,66,67,68,69,70,72,73,75,76,79,81,84
8,21.37,19.74,1.03,74.46,69.48,75.20,15.20,215,49,58,61,64,66,69,70,72,73,75,77,78,80,81,84,87,90,93,97
9,0.25,0.23,1.07,75.76,71.60,75.20,16.25,224,49,54,60,62,65,69,71,72,74,75,78,80,81,83,87,90,93,95,101
10,0.25,0.23,1.07,75.77,71.61,75.40,16.26,224,49,54,60,62,65,69,71,72,74,75,78,80,81,83,87,91,93,95,100
11,22.86,21.38,1.00,70.98,66.57,71.20,14.94,218,47,52,57,59,62,64,67,68,69,71,73,75,77,78,79,84,88,92,94
12,12.50,11.81,1.01,69.93,66.51,70.40,13.80,224,47,53,56,59,62,64,66,67,69,70,73,74,75,77,78,81,85,86,91
13,16.59,14.92,1.06,63.73,58.81,65.40,16.07,220,35,42,45,49,52,55,57,60,63,65,67,69,71,74,76,79,80,83,87
14,54.44,52.69,1.03,72.14,69.69,72.00,12.92,203,53,55,59,61,63,65,67,69,70,72,74,76,78,80,81,83,85,87,92
15,21.69,21.28,1.01,70.53,68.47,69.80,11.60,205,52,56,60,61,63,65,67,67,69,70,72,73,75,77,80,81,83,84,87
16,0.71,0.67,1.03,77.33,74.26,77.70,13.92,206,53,59,64,67,69,71,73,75,76,78,80,81,83,85,86,89,91,95,99
17,4.09,3.91,1.04,77.87,74.90,78.50,13.87,206,54,60,65,68,70,73,74,75,78,79,80,82,83,85,87,89,91,95,98
18,17.26,16.76,1.02,81.35,79.05,81.40,12.89,202,59,67,70,71,73,75,77,78,80,81,83,85,86,88,89,93,94,97,103
19,57.46,55.35,1.03,83.06,80.44,83.50,13.81,199,58,67,69,72,73,76,78,81,82,84,85,86,89,90,93,94,97,100,105
20,22.94,22.37,1.02,80.23,77.94,79.90,13.01,199,58,64,67,70,72,74,76,77,78,80,81,83,85,87,88,91,95,98,102
21,12.14,11.51,1.02,80.86,77.81,82.10,13.69,203,57,67,69,71,72,75,76,79,81,82,83,84,86,88,89,92,94,97,100
22,17.09,16.43,1.00,83.41,81.13,84.40,12.94,201,58,67,71,75,77,78,80,81,83,84,86,87,88,90,91,92,96,98,104
23,4.34,4.14,1.01,83.90,80.76,84.50,14.13,203,60,66,70,75,77,79,80,82,83,85,86,88,90,91,93,95,97,100,104
24,4.46,3.16,1.37,86.21,61.27,86.40,14.61,202,63,68,74,77,79,80,82,83,85,86,88,91,93,94,96,97,100,102,104
25,9.37,9.18,1.02,88.21,86.04,87.80,13.36,198,66,71,75,78,80,81,83,85,86,88,90,93,94,95,98,100,102,104,109
26,30.48,29.77,1.04,85.03,82.54,84.50,14.10,196,61,67,70,74,76,77,80,82,84,85,85,88,91,93,95,97,100,103,106
27,3.30,3.10,1.06,87.41,81.91,87.30,17.44,197,55,64,73,76,79,81,82,84,85,87,90,92,94,96,101,103,104,108,113
28,102.17,99.07,1.03,80.73,78.54,81.00,12.36,181,60,67,69,72,74,75,76,78,79,81,82,84,86,87,88,90,92,96,101
29,8.61,8.01,1.06,77.95,72.14,77.50,13.63,184,59,61,67,69,71,73,74,75,76,77,79,81,82,85,87,89,91,93,101
30,9.52,9.21,1.04,76.22,73.76,76.20,12.33,181,57,61,63,67,69,70,72,73,74,76,78,80,80,82,84,87,89,93,96
31,13.29,12.88,1.02,79.45,76.69,79.10,14.16,179,53,61,65,69,71,73,75,76,77,79,81,84,85,87,88,92,94,97,104
32,15.81,15.05,0.91,82.87,79.78,83.80,15.29,180,56,61,67,70,74,75,77,78,81,84,85,88,89,91,93,96,99,102,106
33,1.63,1.52,1.04,83.10,78.51,84.50,17.07,181,53,63,69,71,73,76,77,79,81,85,87,89,90,92,94,96,99,102,106
34,8.42,8.08,1.03,83.97,80.90,84.30,15.64,181,58,65,69,72,73,76,77,80,82,84,86,88,90,92,93,97,99,104,108
35,55.95,54.00,1.03,89.00,86.48,89.60,14.59,175,64,70,75,76,78,81,83,85,88,90,91,93,95,97,99,102,106,109,114
36,14.24,13.57,1.03,84.11,81.49,85.50,14.34,175,60,65,69,72,75,76,78,79,82,86,87,89,91,93,94,95,99,101,108
37,27.90,26.49,1.09,79.80,76.82,80.90,13.72,178,56,61,67,70,71,73,75,77,79,81,83,85,86,88,90,92,94,97,100
38,1.43,1.38,1.06,83.99,80.95,84.30,14.63,180,62,66,69,70,73,76,78,80,81,84,87,89,91,93,94,95,98,102,107
39,12.80,12.40,0.91,79.98,77.57,80.10,13.54,181,59,63,66,69,70,72,74,76,77,80,82,84,86,88,89,92,94,98,103
40,4.14,4.02,1.03,80.25,77.44,79.90,14.14,180,56,61,66,69,71,73,75,76,78,80,82,84,87,88,91,93,96,98,104
41,7.44,7.22,0.96,82.20,79.61,82.00,14.17,179,58,64,67,71,73,74,76,78,79,82,85,86,88,91,93,95,99,101,106
42,2.80,1.96,1.47,82.12,57.34,81.70,15.33,181,58,65,68,70,72,74,76,77,79,82,85,87,90,91,93,95,99,102,105
43,21.73,20.91,1.06,76.46,74.49,77.40,12.02,167,56,60,62,66,67,69,70,74,76,77,79,81,82,84,87,89,90,92,94
44,5.15,5.00,1.07,62.78,61.06,62.80,10.34,165,46,50,54,55,56,57,58,60,61,63,64,65,66,68,69,71,73,76,80
45,7.32,6.42,0.95,60.53,55.44,63.20,14.81,208,33,38,43,48,51,55,58,60,62,63,65,67,68,69,71,73,75,77,79
46,8.34,7.68,0.93,71.27,66.21,71.90,12.70,217,51,55,59,61,64,66,68,69,71,72,73,75,76,78,80,82,85,87,90
47,5.64,5.22,0.78,75.52,71.79,77.60,14.45,220,48,55,60,63,69,71,73,74,76,78,78,80,82,83,86,88,90,92,95
48,26.81,25.55,1.00,70.60,67.77,71.10,13.27,216,46,52,56,59,61,65,68,69,70,71,74,75,77,78,80,81,84,86,93
49,2.40,2.11,0.99,71.54,65.34,74.30,17.78,229,35,46,54,57,61,65,67,69,72,74,76,77,79,82,83,87,89,94,98
