id,timestamp,class_type,speed,project,project_name,device_alias,device_name,plan_start,plan_end
3789516,2021-09-18T10:00:06+07:00,trailer,49.46,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789517,2021-09-18T10:00:19+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789518,2021-09-18T10:00:19+07:00,motorcycle,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789519,2021-09-18T10:00:20+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789520,2021-09-18T10:00:21+07:00,trailer,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789521,2021-09-18T10:00:22+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789522,2021-09-18T10:00:23+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789523,2021-09-18T10:00:24+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789524,2021-09-18T10:00:25+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789525,2021-09-18T10:00:26+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789526,2021-09-18T10:00:29+07:00,7up,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789527,2021-09-18T10:00:31+07:00,truck,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789528,2021-09-18T10:00:33+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789529,2021-09-18T10:00:34+07:00,truck,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789530,2021-09-18T10:00:34+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789531,2021-09-18T10:00:36+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789532,2021-09-18T10:00:37+07:00,pickup,53.44,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789533,2021-09-18T10:00:40+07:00,trailer,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789534,2021-09-18T10:00:42+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789535,2021-09-18T10:00:42+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789536,2021-09-18T10:00:44+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789537,2021-09-18T10:00:44+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789538,2021-09-18T10:00:45+07:00,truck,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789539,2021-09-18T10:00:47+07:00,car,53.23,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789540,2021-09-18T10:00:50+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789541,2021-09-18T10:00:52+07:00,truck,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789542,2021-09-18T10:00:53+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789543,2021-09-18T10:00:54+07:00,car,60.25,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789544,2021-09-18T10:00:56+07:00,pickup,54.13,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789545,2021-09-18T10:00:59+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789546,2021-09-18T10:01:01+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789547,2021-09-18T10:01:03+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789548,2021-09-18T10:01:04+07:00,trailer,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789549,2021-09-18T10:01:05+07:00,car,48.91,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789550,2021-09-18T10:01:12+07:00,truck,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789551,2021-09-18T10:01:14+07:00,car,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789552,2021-09-18T10:01:15+07:00,pickup,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789553,2021-09-18T10:01:17+07:00,car,62.08,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789554,2021-09-18T10:01:17+07:00,truck,47.93,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
3789555,2021-09-18T10:01:23+07:00,trailer,-1.00,24,S13,CCTV01,5H05990PAGAA80F,2021-09-18,2021-09-20
