id,timestamp,class_type,speed,project,project_name,device_alias,device_name,plan_start,plan_end
3714150,2021-06-27T10:00:38+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714151,2021-06-27T10:00:47+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714152,2021-06-27T10:01:15+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714153,2021-06-27T10:01:33+07:00,trailer,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714154,2021-06-27T10:02:24+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714155,2021-06-27T10:02:29+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714156,2021-06-27T10:02:45+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714157,2021-06-27T10:03:14+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714158,2021-06-27T14:00:01+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714159,2021-06-27T14:00:13+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714160,2021-06-27T14:00:25+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714161,2021-06-27T14:01:27+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714162,2021-06-27T14:02:16+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714163,2021-06-27T14:03:37+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714164,2021-06-27T14:04:16+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714165,2021-06-27T14:04:28+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714166,2021-06-27T14:05:13+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714167,2021-06-27T14:05:42+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714168,2021-06-27T14:06:03+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714169,2021-06-27T14:06:05+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714170,2021-06-27T14:07:14+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714171,2021-06-27T14:07:24+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714172,2021-06-27T14:07:27+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714173,2021-06-27T14:07:27+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714174,2021-06-27T14:07:52+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714175,2021-06-27T14:08:18+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714176,2021-06-27T14:08:33+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714177,2021-06-27T14:09:09+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714178,2021-06-27T14:09:32+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714179,2021-06-27T14:10:48+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714180,2021-06-27T14:10:57+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714181,2021-06-27T14:11:36+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714182,2021-06-27T14:11:38+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714183,2021-06-27T14:11:44+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714184,2021-06-27T14:12:05+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714185,2021-06-27T14:12:36+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714186,2021-06-27T14:12:45+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714187,2021-06-27T14:12:48+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714188,2021-06-27T14:12:50+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714189,2021-06-27T14:15:08+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714190,2021-06-27T14:15:16+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714191,2021-06-27T14:15:37+07:00,truck,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714192,2021-06-27T14:16:17+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714193,2021-06-27T14:17:33+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714194,2021-06-27T16:00:09+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714195,2021-06-27T16:01:24+07:00,pickup,29.73,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714196,2021-06-27T16:02:17+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714197,2021-06-27T16:02:28+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714198,2021-06-27T16:02:31+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714199,2021-06-27T16:02:37+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714200,2021-06-27T16:02:42+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714201,2021-06-27T16:02:54+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714202,2021-06-27T16:03:08+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714203,2021-06-27T16:03:15+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714204,2021-06-27T16:03:31+07:00,pickup,44.27,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714205,2021-06-27T16:04:18+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714206,2021-06-27T18:00:14+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714207,2021-06-27T18:00:21+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714208,2021-06-27T18:01:01+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714209,2021-06-27T18:01:33+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714210,2021-06-27T18:03:14+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714211,2021-06-27T18:04:28+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714212,2021-06-27T18:04:28+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714213,2021-06-27T18:05:27+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714214,2021-06-27T18:07:22+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714215,2021-06-27T18:07:31+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714216,2021-06-27T18:08:12+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714217,2021-06-27T18:08:37+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714218,2021-06-27T18:08:42+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714219,2021-06-27T18:09:09+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714220,2021-06-27T18:09:39+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714221,2021-06-27T18:10:04+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714222,2021-06-27T18:10:18+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714223,2021-06-27T18:10:21+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714224,2021-06-27T18:10:44+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714225,2021-06-27T18:11:26+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714226,2021-06-27T18:12:22+07:00,motorcycle,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714227,2021-06-27T18:12:39+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714228,2021-06-27T18:13:35+07:00,pickup,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
3714229,2021-06-27T18:14:31+07:00,car,-1.00,16,S03,CCTV01,5H05990PAGAA80F,2021-06-27,2021-07-03
