id,timestamp,class_type,speed,project,project_name,device_alias,device_name,plan_start,plan_end
3750043,2021-08-02T08:00:13+07:00,car,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750044,2021-08-02T08:00:16+07:00,car,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750045,2021-08-02T08:00:22+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750046,2021-08-02T08:00:38+07:00,car,10.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750047,2021-08-02T08:00:41+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750048,2021-08-02T08:00:47+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750049,2021-08-02T08:00:54+07:00,car,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750050,2021-08-02T08:00:59+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750051,2021-08-02T08:01:12+07:00,pickup,15.18,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750052,2021-08-02T08:01:25+07:00,car,23.42,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750053,2021-08-02T08:01:27+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750054,2021-08-02T08:01:30+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750055,2021-08-02T08:01:43+07:00,motorcycle,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750056,2021-08-02T08:01:53+07:00,car,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
3750057,2021-08-02T08:01:56+07:00,pickup,-1.00,23,S12,CCTV09,5H05990PAG4AC01,2021-08-02,2021-08-02
